Pitcher_ID,Throwing_Hand,Throw_Cutter,Throw_Sinker,Count_Pitches,Max_Velocity,Max_Break,Diff_Velocity,Diff_Spin,Sim,Strikeout_Rate
1,Right,No,No,3,94.392,9.251,12.876,1536.36,0.06880782,10.03
2,Right,No,No,4,93.639,7.857,7.813,1593.14,0.70722517,8.61
3,Left,No,No,5,92.606,10.624,11.14,1564.62,0.31415795,6.31
4,Right,No,No,5,92.266,10.946,14.996,1763.72,0.12159356,6.69
5,Left,No,No,4,94.669,8.598,8.268,1549.97,0.80258965,7.29
6,Right,No,No,5,91.625,12.472,11.87,1384.09,0.7329348,7.1
7,Right,No,No,4,91.789,9.657,8.989,1242.03,0.76388317,7.47
8,Right,No,No,3,91.929,11.267,11.033,1232.59,0.01880952,10.39
9,Right,No,No,6,92.14,12.443,16.003,1341.27,0.56086838,5.81
10,Right,Yes,Yes,2,90.945,11.162,11.272,908.539,0.32087842,8.46
11,Left,No,No,4,91.229,10.677,10.723,1241.38,0.12325498,8.79
12,Right,No,No,3,92.571,9.313,10.334,1502.53,0.02281802,8.14
13,Right,No,No,4,93.473,8.682,8.121,1707.31,0.13481462,7.97
14,Left,No,No,4,93.922,9.089,10.324,1485.47,0.25892012,7.38
15,Right,No,No,3,94.69,9.646,11.264,1624.47,0.46954017,9.73
16,Right,No,No,4,91.189,13.753,14.91,991.125,0.48352171,7.1
17,Left,No,No,4,93.892,8.397,8.707,1164.85,0.86001944,5.88
18,Right,Yes,Yes,4,96.213,10.98,11.653,1418.05,0.49290887,10.15
19,Right,Yes,Yes,4,93.683,11.924,16.487,1661.6,0.31766099,6.59
20,Right,No,No,6,91.931,12.996,13.959,1293.93,0.21707634,5.98
21,Left,No,No,4,91.35,10.801,11.428,1160.88,0.40558315,8
22,Right,Yes,Yes,2,94.766,10.073,11.364,1167.9,0.82534722,8.66
23,Right,Yes,No,2,94.411,10.648,14.874,1259.49,0.98994789,8.12
24,Left,No,No,5,93.01,12.321,13.309,844.613,0.99243487,6.09
25,Right,Yes,No,2,94.111,9.853,7.516,1060.96,0.84470084,10.51
