Item_ID,Item_Weight,Low_Fat_Content,Item_Visibility,Drink,Max_Retail_Price,Store_Built,Large_Size_Store,Item_Sales,sim
1,9.3,Yes,0.016,No,12.49,1999,Yes,3735.138,0.59
2,5.9,No,0.019,Yes,2.41,2009,No,443.4228,0.631
3,17.5,Yes,0.017,No,7.08,1999,Yes,2097.27,0.373
4,8.9,Yes,0,No,2.69,1987,Yes,994.7052,0.974
5,10.4,No,0,No,2.57,2009,Yes,556.6088,0.755
6,13.7,No,0.013,No,2.88,1987,Yes,343.5528,0.002
7,11.8,Yes,0,No,2.28,1999,Yes,1516.0266,0.289
8,10.8,No,0.045,No,7.21,1997,No,2187.153,0.153
9,15.1,No,0.1,No,7.27,1999,No,1589.2646,0.368
10,17.6,No,0.047,No,5.98,1997,No,2145.2076,0.496
11,16.4,Yes,0.068,No,9.82,1987,Yes,1977.426,0.7
12,9,No,0.069,No,2.82,1997,No,1547.3192,0.525
13,11.8,Yes,0.009,No,5.77,2009,Yes,1621.8888,0.734
14,9,No,0.069,No,2.72,1999,Yes,718.3982,0.892
15,13.4,Yes,0.102,No,11.53,2004,No,2748.4224,0.862
16,18.9,No,0.138,No,12.54,1987,Yes,3775.086,0.441
17,14.6,Yes,0.026,No,9.83,2004,No,1587.2672,0.628
18,13.9,No,0.026,No,8.25,1997,No,4078.025,0.178
19,7.6,No,0.067,No,2.12,2004,No,1065.28,0.246
20,11.7,Yes,0.019,Yes,1.96,1987,Yes,308.9312,0.548
21,18.6,Yes,0.081,No,4.82,2009,Yes,2741.7644,0.585
22,18.7,Yes,0,No,12.83,2009,Yes,3068.0064,0.855
23,17.5,Yes,0.098,Yes,8.74,1997,No,2085.2856,0.428
24,10,Yes,0.089,No,7.34,1999,Yes,3791.0652,0.51
25,8.9,No,0.113,Yes,6.13,2009,No,1609.9044,0.213
26,13.4,Yes,0.103,No,11.53,1997,No,3435.528,0.102
27,9.8,Yes,0.027,No,6.3,1987,Yes,2150.534,0.502
28,13.6,Yes,0.118,No,9.65,1999,Yes,2527.3768,0.418
29,21.4,Yes,0.069,No,13,2009,Yes,6768.5228,0.396
30,12.2,No,0.042,No,6.33,1987,Yes,373.5138,0.72
31,15.9,No,0.122,No,3.03,1997,No,2576.646,0.68
32,7.4,Yes,0.068,No,7.19,1997,No,3134.5864,0.515
33,10.2,Yes,0.16,No,7.08,1987,Yes,850.8924,0.847
34,9.9,No,0.029,No,5.85,1987,Yes,810.9444,0.462
35,7.9,Yes,0.01,No,12.45,2009,Yes,6258.52,0.445
36,8.4,Yes,0.072,Yes,1.9,1999,Yes,796.9626,0.049
37,15.1,Yes,0.173,No,9.73,1997,No,4910.275,0.866
38,10,Yes,0,No,12.35,2009,Yes,3185.1872,0.081
39,19.4,Yes,0.033,No,8.63,2004,No,4865.6664,0.855
40,8.6,Yes,0.143,No,4.79,1997,No,2027.361,0.412
41,15.6,No,0.105,No,8.51,1997,No,3435.528,0.303
42,15.9,No,0.122,No,2.96,1987,Yes,599.22,0.668
43,7.8,Yes,0.186,No,12.72,1999,Yes,5580.7356,0.181
44,8.4,No,0.024,No,5.7,1997,No,2290.352,0
45,12.9,Yes,0.033,No,8.62,1999,Yes,1207.0954,0.818
46,7.8,Yes,0.059,No,5.09,1997,No,1697.79,0.99
47,11.8,No,0.014,No,9.02,1997,No,1427.4752,0.876
48,16.8,Yes,0.045,No,9.4,2009,Yes,4693.89,0.791
49,6.1,Yes,0.025,No,8.05,2004,No,2716.464,0.429
50,6.3,No,0.123,No,4.78,1997,No,661.8052,0.802
51,20.9,Yes,0.04,No,5.86,1999,Yes,1523.3504,0.125
52,8.9,Yes,0.105,No,2,1999,Yes,690.4346,0.526
53,19.7,Yes,0.053,No,2.89,2004,No,622.523,0.281
54,9.8,Yes,0.024,No,5.73,2004,No,1274.3412,0.046
55,12.2,Yes,0.131,No,12.3,1999,Yes,1231.73,0.777
56,8.8,No,0.075,No,9.37,2004,No,3755.112,0.741
57,8.8,No,0.075,No,9.39,1997,No,1314.2892,0.643
58,8.3,No,0.116,No,8.96,1999,No,3896.2616,0.718
59,16.8,No,0.025,Yes,1.94,1987,Yes,667.7974,0.119
60,19.8,Yes,0.034,No,10.6,2009,Yes,3185.853,0.312
61,17.1,No,0.047,No,7.06,1987,Yes,2247.7408,0.018
62,10.5,No,0.117,No,8.16,1987,Yes,1794.331,0.177
63,14.2,Yes,0.036,Yes,2.07,1987,Yes,812.276,0.713
64,13.3,Yes,0.08,No,11.63,1997,No,699.09,0.187
65,7.5,Yes,0.033,No,11.95,1999,Yes,5942.265,0.3
66,7.5,Yes,0.069,No,5.45,2004,No,2542.0244,0.15
